Name,Beauhurst URL,Accelerator manager,Sponsor(s),Fund,Next application deadline,Duration,Perks provided,Status,Summary,Eligibility,Phone number,Website,LinkedIn page,Country,Local authority (if UK),Region (if UK),Street address,Postcode (if UK),Number of attendances in this accelerator,Number of fundraisings associated with this accelerator,Date of the latest attendance 
Angels@Essex Future Economy Investor Partnership,https://platform.beauhurst.com/acceleratormanager/ksfm3x/accelerator/ji8vwx/,Innovate UK Business Connect,Angels@Essex,Innovate UK,,6 months.,"Access to Investor Network, Investment Assistance, Mentoring, Product Development, Workshops",Green,"The programme is part of the Innovate UK Investor Partnerships programme, which provides investment readiness support for companies applying for IUK R&D grants.","Applicants must: Be a UK-registered SME Carry out its project work in or from the UK and intend to exploit the results in or from the UK Be focused on the 'future economy' themes of new zero, healthy living and agriculture, digital and technology, or equality, diversity and inclusion Be intending to apply for an R&D grant from Innovate UK",,https://iuk.ktn-uk.org/opportunities/innovate-uk-investor-partnerships-sme-round-6/,,United Kingdom,Colchester,East of England,"Boundary Road
Colchester
England 
CO4 3SQ",CO4 3SQ,6,,2024-01-02
North East Create Growth,https://platform.beauhurst.com/acceleratormanager/zsphda/accelerator/ms9ua6/,Creative UK,"North of Tyne Combined Authority, Department for Digital, Culture, Media and Sport",,,6 months.,"Access to Investor Network, Corporate Resources, Investment Assistance, Mentoring, Technical Expertise, Workshops",Green,This programme is for creative businesses which demonstrate the potential for high growth. ,"Applicants must meet the following criteria:  Be registered as a business on Companies House. Have been trading or registered within one of the following areas; Durham, Northumberland, Gateshead, Newcastle Upon Tyne, North and South Tyneside and Sunderland (Teesside is excluded). Operating across one of the following sectors; advertising and marketing; architecture; crafts; design and designer fashion; film, TV, video, radio and photography; IT, software and computer services (including gaming); publishing; museums, galleries and libraries; music, performing and visual arts.",,https://www.wearecreative.uk/support/regional-growth-programmes/north-east-cgp/,,United Kingdom,"Bristol, City of",South West,"Runway East
1 Victoria Street
Redcliffe
Bristol",BS1 6AA,1,,2023-07-19
Startup Academy,https://platform.beauhurst.com/acceleratormanager/h9i8dj/accelerator/gfn8ey/,Tramshed Tech,"SeedLegals, Stripe, Google for Startups, Twilio",Google for Startups,,10 weeks.,"Access to Business Network, Access to Finance, Access to Investor Network, Access to Network of Experts, Business Advice, Corporate Resources, Invitation to Exclusive Events, Mentoring, Workshops",Green,The programme aims to develop early stage tech companies.,Applicants must b e a pre-start or early stage tech startup.,029 2010 3090,https://www.tramshedtech.co.uk/programmes/startup-academy/,,United Kingdom,Cardiff,Wales,"Pendyris Street
Unit D
Cardiff 
CF11 6BH",CF11 6BH,90,,2023-08-01
GreenTech Catalyst,https://platform.beauhurst.com/acceleratormanager/h9i8dj/accelerator/9d6egn/,Tramshed Tech,M-SParc,,,12 weeks.,"Access to Business Network, Access to Network of Experts, Business Advice, Corporate Resources, Invitation to Exclusive Events, Mentoring, Product Development, Workshops",Green,The programme aims to support the growth of Welsh businesses developing environmentally focused products are services.,"Applicants must have a viable product, existing traction in the market, and high growth potential.",,https://www.tramshedtech.co.uk/programmes/greentech-catalyst-accelerator/,,United Kingdom,Cardiff,Wales,"Pendyris Street
Unit D
Cardiff 
CF11 6BH",CF11 6BH,12,,2024-01-01
Technology Export Cluster,https://platform.beauhurst.com/acceleratormanager/h9i8dj/accelerator/hi3in8/,Tramshed Tech,"Business News Wales, Impact Innovation",Welsh Government,,,"Access to Business Network, Access to Network of Experts, Invitation to Exclusive Events, Mentoring, Workshops",Green,The programme supports Welsh businesses that aim to export their products.,Applicants must be based in Wales and operate in the technology sector.,,https://tecwales.com/register/,,United Kingdom,Cardiff,Wales,"Pendyris Street
Unit D
Cardiff 
CF11 6BH",CF11 6BH,41,,2023-08-01
Soft-Landing Programme,https://platform.beauhurst.com/acceleratormanager/h9i8dj/accelerator/q9ppz5/,Tramshed Tech,,Welsh Government,,12 weeks.,"Access to Business Network, Access to Network of Experts, Business Advice, Invitation to Exclusive Events, Mentoring, Office Space",Green,The programme aims to support international technology businesses expand and 'soft-land' in Wales.,Applicants must be a technology business.,,https://www.tramshedtech.co.uk/programmes/soft-landing/,,United Kingdom,Cardiff,Wales,"Unit D
Pendyris St
Cardiff
CF11 6BH",CF11 6BH,3,,2023-10-31
Founders at the University of Cambridge Start Accelerator,https://platform.beauhurst.com/acceleratormanager/2u9ing/accelerator/i4e76v/,Founders at the University of Cambridge,,The University of Cambridge,,12 weeks.,"Access to Alumni Network, Access to Business Network, Access to Investor Network, Access to Network of Experts, Financial Investment, Mentoring, Office Space, Workshops",Green,The programme is for Cambridge University technology startups.,"Applicants must meet the following criteria: Be developing a technology-based solution from University research or knowledge Be committed to growing the company Be looking to secure pre-seed, seed or grant funding in the next 12 months Have at least one founder who has attended Cambridge University in the last two years Applicants working in the drug discovery or deep therapeutic technology sectors are ineligible for this programme.",,https://founders.cam.ac.uk/start-3/,,United Kingdom,Cambridge,East of England,"Hauser Forum
3 Charles Babbage Road
Cambridge
CB3 0GT",CB3 0GT,17,17,2025-03-27
Female Founder Accelerator,https://platform.beauhurst.com/acceleratormanager/ci4mhd/accelerator/cggari/,Barclays Eagle Labs,"AccelerateHER, UK Government Investments Limited",,,9 weeks.,"Access to Business Network, Access to Customer Network, Access to Investor Network, Business Advice, Financial Planning, Invitation to Exclusive Events, Marketing support, Mentoring, Workshops",Green,"This programme is for for female-led companies, operating in the technology and innovation sector with the ambition to scale and raise investment in 12-18 months.",Applicant companies must be: Creating a Minimum Viable Product (MVP) that is ready to bring to market Developing digital technology or innovations Applying as a female c-suite executive or founder Operating and based in the UK Able to commit to attending all the masterclasses over the 9 weeks and dedicate an estimated two and a half hours to the programme each week.,,https://labs.uk.barclays/what-we-offer/our-programmes/female-founder-accelerator/,,United Kingdom,Tower Hamlets,London,"1 Churchill Place
London
E14 5HP",E14 5HP,6,,2025-09-15
Mobile Games Growth Programme,https://platform.beauhurst.com/acceleratormanager/nm7hsk/accelerator/wugmgt/,Ukie,Barclays,,,6 months.,"Access to Business Network, Access to Investor Network, Access to Network of Experts, Business Advice, Mentoring, Workshops",Green,The programme is for founders/CEOs of mobile games development companies.,Applicants must meet the following criteria: Be based in the UK with an incorporated business Have an entrepreneurial outlook with ambition and potential for growth Have an already assembled team Have released a game/have a game in production Have generated revenue or raised funding,,https://ukie.org.uk/mobile-growth-programme,,United Kingdom,Camden,London,"Black Bull Yard
24-28 Hatton Wall
London
EC1N 8JH",EC1N 8JH,1,,2022-11-29
Indielab Games UK,https://platform.beauhurst.com/acceleratormanager/y5qqtt/accelerator/gec3pp/,Indielab,,,,3 months.,"Access to Network of Experts, Financial Planning, Invitation to Exclusive Events, Legal Services, Mentoring, Product Development, Workshops",Green,The programme supports video game studios and developers.,"Applicants must meet the following criteria: Be either game developers, a game studio or a creator of interactive entertainment Have their HQ based in the British Isles Have a playable game prototype Have a pitch deck/one page pitch for the game",,https://www.indielabgames.co.uk/indielab-games-2024-uk-accelerator,https://www.linkedin.com/company/85872822,United Kingdom,Westminster,London,"7 Savoy Court
London",WC2R 0EX,10,,2024-05-01
DunDev,https://platform.beauhurst.com/acceleratormanager/kzbriz/accelerator/vxxqea/,UK Games Talent and Finance,,,,4 weeks.,"Access to Business Network, Access to Network of Experts, Financial Investment, Living Space, Mentoring, Office Space",Green,The programme is for games development studios.,Applicants must meet the following criteria: Have previously attended the Tranzfuser programme Have a team size of 3-6 people Be registered with Companies House Have demonstrable concept work,,https://dun-dev.com/,,United Kingdom,Islington,London,"124 City Road
London
EC1V 2NX",EC1V 2NX,2,,2024-03-15
Baltic Ventures Launchpad,https://platform.beauhurst.com/acceleratormanager/8j6jjw/accelerator/9jk6xc/,Baltic Ventures,,,,6 months.,"Access to Business Network, Access to Finance, Access to Investor Network, Access to Network of Experts, Invitation to Exclusive Events, Mentoring, Workshops",Green,The programme is for digital technology startups.,Applicants must operate as an early-stage digital technology company.,,https://balticventures.uk/launchpad/,,United Kingdom,Liverpool,North West,"Digital House
Studio B
44 Simpson Street
Liverpool",L1 0AX,17,,2025-01-27
KPE Access Accelerator,https://platform.beauhurst.com/acceleratormanager/hfssrr/accelerator/erpfab/,KPMG Private Enterprise Access,,,,12 months.,"Access to Network of Experts, Invitation to Exclusive Events, Mentoring, Workshops",Green,The programme supports high-growth and ambitious businesses. ,"Applicant companies must meet the following requirements: A turnover of £1,000,000 and/or have raised minimum £1,000,000 with the intention to raise again in the next 12 months  Fast growing team and looking to scale Intention to do business overseas",,https://kpmg.com/uk/en/home/insights/2021/02/kpmg-private-enterprise-access.html,,United Kingdom,Tower Hamlets,London,"15 Canada Square, London",E14 5GL,62,,2025-01-31
Investment Readiness Programme,https://platform.beauhurst.com/acceleratormanager/j34i5i/accelerator/nzegju/,Mountside Ventures,"British Business Bank, Funding London, UK Shared Prosperity Fund",,,6 weeks.,"Access to Investor Network, Business Advice, Corporate Resources, Financial Planning, Investment Assistance, Mentoring",Green,"The programme is for pre-seed and seed companies, aiming to raise external investment in the next 3 to 12 months.","Applicant must be entrepreneurs who demonstrate traction, are seeking funding, and operate a company that has received less than £315k in state aid/public sector funding.",,https://www.mountsideventures.com/accelerator,,United Kingdom,Camden,London,"27 Old Gloucester Street
London
WC1N 3AX",WC1N 3AX,23,,2024-09-13
